main_activity,clustered,tilt_subsector
service provider,metallization of plastic materials,Iron & Steel
subcontractor,metallization of plastic materials,Iron & Steel
service provider,"stone grinding of to 10,000 kg weights",Iron & Steel
service provider,hard chrome plating of calender rolls,Iron & Steel
multi-category,spare parts for motorcycle,Automotive LDV
multi-category,escalator,Machinery & Equipment
retailer,escalator,Machinery & Equipment
missing,composition,Other Industry
agent/ representative,cement,Food Related Products
service provider,emerising metals,Iron & Steel
wholesaler,emerising metals,Iron & Steel
service provider,"power saws, portable",Iron & Steel
manufacturer/ producer,"power saws, portable",Iron & Steel
missing,"power saws, portable",Machinery & Equipment
service provider,component assembly,Iron & Steel
service provider,cnc measuring technology,Iron & Steel
service provider,cnc boring mill machining,Iron & Steel
service provider,cnc machining of large components,Iron & Steel
service provider,cnc small,Iron & Steel
service provider,cnc functional assemblies,Iron & Steel
service provider,waste presses,Iron & Steel
manufacturer/ producer,waste presses,Fishing & Forestry
service provider,industrial deflashing,Iron & Steel
multi-category,metal polishing,Iron & Steel
service provider,steel boilermaking,Iron & Steel
service provider,construction of tubing,Iron & Steel
subcontractor,construction of tubing,Iron & Steel
manufacturer/ producer,industrial moving,Other Transport
service provider,stainless steel pickling,Iron & Steel
manufacturer/ producer,stainless steel pickling,Iron & Steel
subcontractor,stainless steel pickling,Iron & Steel
service provider,wooden frame paint stripping,Iron & Steel
service provider,cannulae,Iron & Steel
manufacturer/ producer,"online purchasing management, e-procurement",Iron & Steel
service provider,industrial assemblies,Iron & Steel
service provider,pipework,Iron & Steel
service provider,c-parts management,Iron & Steel
service provider,screws made to order,Iron & Steel
wholesaler,screws made to order,Iron & Steel
service provider,connecting elements,Iron & Steel
multi-category,lifting - vehicles,Machinery & Equipment
multi-category,"gases, liquefied",Agriculture & Livestock
distributor,stairs,Other Industry
retailer,water jet cutting system,Iron & Steel
wholesaler,metal turning,Iron & Steel
missing,metal turning,Iron & Steel
service provider,painting of rubber,Iron & Steel
retailer,painting of rubber,Other Industry
service provider,painting of plastic,Iron & Steel
retailer,painting of plastic,Other Industry
service provider,varnishing of rubber,Iron & Steel
retailer,varnishing of rubber,Other Industry
service provider,varnishing of plastic,Iron & Steel
retailer,varnishing of plastic,Other Industry
distributor,diamonds,Other Industry
wholesaler,diamonds,Other Industry
missing,diamonds,Other Metals
wholesaler,bands non-ferrous metal,Iron & Steel
retailer,bands non-ferrous metal,Iron & Steel
service provider,paint stripping,Iron & Steel
manufacturer/ producer,paint stripping,Iron & Steel
service provider,hot galvanizing,Iron & Steel
manufacturer/ producer,hot galvanizing,Iron & Steel
service provider,galvanization of parts,Iron & Steel
service provider,pliage de toles grandes longueur,Iron & Steel
service provider,travail sur presse,Iron & Steel
service provider,thermal paint stripping,Iron & Steel
distributor,metal impregnation,Other Metals
service provider,paints for metal,Iron & Steel
service provider,industrial business associations,Iron & Steel
service provider,anti-corrosion protection,Iron & Steel
service provider,hot-dip galvanised panels,Iron & Steel
multi-category,hot-dip galvanised panels,Iron & Steel
service provider,fire paint stripping,Iron & Steel
manufacturer/ producer,fire paint stripping,Iron & Steel
subcontractor,gravelling,Iron & Steel
subcontractor,industrial painting,Iron & Steel
distributor,industrial painting,Construction Buildings
wholesaler,industrial painting,Construction Residential
service provider,yellow galvanizing,Iron & Steel
service provider,black galvanizing,Iron & Steel
service provider,machine tools for bending sheet metal in large runs,Iron & Steel
manufacturer/ producer,chroming plating,Iron & Steel
subcontractor,chroming plating,Iron & Steel
service provider,stainless steel structural shapes,Iron & Steel
manufacturer/ producer,lacquering,Iron & Steel
manufacturer/ producer,paper treatment system,Machinery & Equipment
manufacturer/ producer,cardboard finishing system,Machinery & Equipment
manufacturer/ producer,cardboard treatment system,Machinery & Equipment
distributor,steel foundries installations,Iron & Steel
agent/ representative,steel foundries installations,Shipping
service provider,saws - sharpening,Iron & Steel
service provider,microsandblasting,Iron & Steel
manufacturer/ producer,cryogenic cleaning,Machinery & Equipment
service provider,high precision polishing,Iron & Steel
service provider,frame polishing,Iron & Steel
service provider,silver polishing,Iron & Steel
service provider,test bench,Iron & Steel
missing,furniture lacquering,Fishing & Forestry
subcontractor,furniture lacquering,Fishing & Forestry
missing,varnishing of furniture,Fishing & Forestry
subcontractor,varnishing of furniture,Fishing & Forestry
manufacturer/ producer,plastic lacquering,Fishing & Forestry
service provider,tools for working metals,Iron & Steel
service provider,wire welding,Iron & Steel
service provider,impact welding,Iron & Steel
service provider,microprobing,Iron & Steel
service provider,machining of iron profiles,Iron & Steel
service provider,retention tank,Iron & Steel
manufacturer/ producer,retention tank,Other Transport
service provider,correction workshops,Iron & Steel
service provider,decorative wood,Iron & Steel
service provider,printing of rubber,Iron & Steel
service provider,printing of plastic,Iron & Steel
service provider,engraving of rubber,Iron & Steel
service provider,engraving of plastic,Iron & Steel
missing,fine panel work,Iron & Steel
subcontractor,fine panel work,Iron & Steel
service provider,chemical nickel plating,Iron & Steel
manufacturer/ producer,chemical nickel plating,Iron & Steel
subcontractor,chemical nickel plating,Iron & Steel
service provider,encouraging business relationships,Iron & Steel
missing,prototype,Construction Residential
service provider,borehole,Iron & Steel
subcontractor,borehole,Iron & Steel
service provider,industrial engineering studies,Iron & Steel
service provider,designing machines,Iron & Steel
service provider,building machines,Iron & Steel
service provider,assembly for industrial applications,Iron & Steel
subcontractor,assembly for industrial applications,Iron & Steel
service provider,in-house maintenance workshop,Iron & Steel
service provider,serigraphy,Iron & Steel
service provider,plants for metal extrusion,Iron & Steel
service provider,metal extrusion,Iron & Steel
service provider,industrial pipes,Iron & Steel
service provider,boilerwork mechanized welding,Iron & Steel
subcontractor,boilerwork mechanized welding,Iron & Steel
service provider,disposal of industrial waste,Iron & Steel
service provider,rust protection coverings,Iron & Steel
subcontractor,sheet metal cutting,Other Metals
service provider,industrial shelving fitted,Iron & Steel
service provider,tuning,Iron & Steel
missing,tuning,Automotive HDV
service provider,disk sander hire,Iron & Steel
service provider,chromotherapy,Iron & Steel
service provider,electronic display in lcd for outside,Iron & Steel
service provider,led technology for outside,Iron & Steel
subcontractor,water jet cutting,Iron & Steel
service provider,blanking,Iron & Steel
manufacturer/ producer,blanking,Iron & Steel
missing,blanking,Iron & Steel
service provider,cylindrical profile grinding,Iron & Steel
service provider,cnc round profile grinding,Iron & Steel
service provider,centerless grinding,Iron & Steel
service provider,"cylindrical grinding, centreless",Iron & Steel
service provider,grinding shops for bars,Iron & Steel
service provider,contracted metal grinding,Iron & Steel
service provider,quenching,Iron & Steel
service provider,marginalised layer hardening,Iron & Steel
service provider,inductive hardening,Iron & Steel
service provider,flame hardening,Iron & Steel
service provider,circumferential hardening,Iron & Steel
service provider,individual tooth hardening,Iron & Steel
service provider,carburization,Iron & Steel
service provider,anti abrasion steels,Iron & Steel
missing,traffic signs,Other Transport
retailer,converters,Total Power
retailer,rectifiers,Total Power
service provider,low friction,Iron & Steel
service provider,extreme hardness,Iron & Steel
service provider,wear resistance,Iron & Steel
distributor,tools in hard metal,Iron & Steel
distributor,carbide precision components,Iron & Steel
manufacturer/ producer,diecasting,Machinery & Equipment
missing,reamers,Machinery & Equipment
service provider,contract fine grinding,Iron & Steel
service provider,repair of drilling tools,Iron & Steel
service provider,repair of milling spindles (regrinding of tool spindles for machining centres),Iron & Steel
service provider,tool grinding service,Iron & Steel
manufacturer/ producer,tool grinding service,Iron & Steel
service provider,solid carbide special drilling tools,Iron & Steel
distributor,automatisation of special machines,Iron & Steel
multi-category,automatisation of special machines,Machinery & Equipment
service provider,water based cutters,Iron & Steel
service provider,metal surface finishes,Iron & Steel
manufacturer/ producer,metal surface finishes,Iron & Steel
subcontractor,metal surface finishes,Iron & Steel
multi-category,metal surface finishes,Iron & Steel
service provider,tinning,Iron & Steel
subcontractor,tinning,Iron & Steel
service provider,vintage car spares,Iron & Steel
missing,vintage car spares,Fishing & Forestry
service provider,cold deformation of sheet metal,Iron & Steel
service provider,building sand blasting,Iron & Steel
service provider,sandblasting of metals,Iron & Steel
subcontractor,sandblasting of metals,Iron & Steel
service provider,sandblasting industrial paint,Iron & Steel
service provider,wood carving,Iron & Steel
missing,wood carving,Iron & Steel
service provider,machining to customers' drawings,Iron & Steel
service provider,cnc finishing,Iron & Steel
wholesaler,patents protection,Other Industry
manufacturer/ producer,polling institutes,Other Industry
distributor,polling institutes,Other Industry
missing,laser printing,Other Industry
service provider,steel garden furniture,Iron & Steel
manufacturer/ producer,brush deburring,Iron & Steel
manufacturer/ producer,vibratory finishing,Iron & Steel
manufacturer/ producer,electron beam welding,Machinery & Equipment
service provider,reconditioning of technical metal assemblies,Iron & Steel
service provider,contracted fine blasting,Iron & Steel
service provider,contracted corundum blasting,Iron & Steel
service provider,shotblasting (service),Iron & Steel
service provider,contract washing of metal parts,Iron & Steel
service provider,old unit logistics,Iron & Steel
service provider,test repair,Iron & Steel
service provider,dismantling,Iron & Steel
service provider,assembly work,Iron & Steel
service provider,wire cutting,Iron & Steel
manufacturer/ producer,wire cutting,Iron & Steel
service provider,pritchel,Iron & Steel
missing,gearboxes for vehicles,Automotive LDV
multi-category,gearboxes for vehicles,Automotive LDV
service provider,straightening,Iron & Steel
manufacturer/ producer,straightening,Iron & Steel
service provider,metalworking-related services,Iron & Steel
service provider,metalworking-related activities,Iron & Steel
service provider,brazewelding,Iron & Steel
service provider,press tools,Iron & Steel
retailer,lounge suits,Other Industry
missing,iron welding,Iron & Steel
service provider,dimensional inspection,Iron & Steel
service provider,"presses, thermoforming - plastics",Iron & Steel
service provider,measuring sensors,Iron & Steel
service provider,flux,Iron & Steel
manufacturer/ producer,flux,Food Related Products
service provider,cutting stamps,Iron & Steel
manufacturer/ producer,cutting stamps,Iron & Steel
service provider,brazing work,Iron & Steel
manufacturer/ producer,brazing work,Iron & Steel
service provider,machining for small batches,Iron & Steel
service provider,soldering foils,Iron & Steel
service provider,soldering agent,Iron & Steel
service provider,silver solders,Iron & Steel
service provider,cnc parts,Iron & Steel
service provider,made-to-order parts,Iron & Steel
service provider,special parts,Iron & Steel
service provider,milling plastic materials,Iron & Steel
service provider,sandblasting surfaces,Iron & Steel
service provider,metal burnishing,Iron & Steel
manufacturer/ producer,metal burnishing,Iron & Steel
service provider,electro-galvanized ribbons,Iron & Steel
service provider,surface treatment by manual sandblasting,Iron & Steel
service provider,ship painting,Iron & Steel
manufacturer/ producer,electro plating,Total Power
manufacturer/ producer,waste incineration plants,Construction Buildings
manufacturer/ producer,spare,Other Transport
manufacturer/ producer,decoration advice,Construction Buildings
wholesaler,garden laying-out,Construction Buildings
missing,garden laying-out,Fishing & Forestry
retailer,garden laying-out,no_match
service provider,border plants,Fishing & Forestry
service provider,border flowers,Fishing & Forestry
service provider,"arbours, custom",Fishing & Forestry
service provider,"gazebos, custom",Fishing & Forestry
service provider,planting,Fishing & Forestry
service provider,concert security,Fishing & Forestry
service provider,private surveillance,Fishing & Forestry
service provider,industrial plant maintenance,Fishing & Forestry
service provider,japanese garden plants,Fishing & Forestry
service provider,home installations,Fishing & Forestry
service provider,office security installation,Fishing & Forestry
service provider,vacuum cleaners,Fishing & Forestry
agent/ representative,truck,Other Transport
wholesaler,truck,Machinery & Equipment
multi-category,truck,Other Transport
service provider,industrial cooling maintenance,Fishing & Forestry
missing,overland transports,Other Transport
missing,chartering,Other Transport
subcontractor,chartering,Other Transport
service provider,acupuncture,Fishing & Forestry
manufacturer/ producer,ayurvedic products,Food Related Products
service provider,cctv cameras,Fishing & Forestry
service provider,fire alarm,Fishing & Forestry
manufacturer/ producer,short-term rental,Machinery & Equipment
service provider,long-term rental,Fishing & Forestry
service provider,plant hire,Fishing & Forestry
service provider,smoking prevention therapy,Fishing & Forestry
distributor,lpg,Oil Energy
wholesaler,lpg,Gas Energy
missing,lpg,Gas Energy
manufacturer/ producer,plc programming,Other Transport
multi-category,"bulps, bedding plants",Agriculture & Livestock
multi-category,"games, garden",Machinery & Equipment
subcontractor,removal of industrial facilities,Machinery & Equipment
manufacturer/ producer,machine maintenance,Iron & Steel
manufacturer/ producer,cabling,Machinery & Equipment
manufacturer/ producer,plant optimisation,Fishing & Forestry
missing,outsourcing,Other Transport
service provider,biology educational materials,Fishing & Forestry
service provider,acid-loving plants,Fishing & Forestry
manufacturer/ producer,engineering consultancy,Aviation
missing,industrial analysis laboratory,no_match
service provider,project management for logistics facilities,Fishing & Forestry
service provider,supply chain management (scm),Fishing & Forestry
service provider,logistics implementation,Fishing & Forestry
service provider,supply chain analysis,Fishing & Forestry
service provider,plant construction for e/msr,Fishing & Forestry
service provider,installation of medium-voltage cables,Fishing & Forestry
service provider,bronze shell cast parts,Other Metals
service provider,bronze bars,Other Metals
missing,anti-corrosion,Iron & Steel
service provider,sawdust,Fishing & Forestry
missing,sawdust,Fishing & Forestry
agent/ representative,sawdust,Fishing & Forestry
service provider,wooden box,Fishing & Forestry
service provider,packaging assistance,Fishing & Forestry
service provider,floating parquet flooring,Fishing & Forestry
service provider,"strips , wood",Fishing & Forestry
wholesaler,"strips , wood",Fishing & Forestry
missing,"strips , wood",Fishing & Forestry
retailer,"strips , wood",Fishing & Forestry
service provider,casks,Fishing & Forestry
missing,casks,Fishing & Forestry
service provider,items for mural decorations,Fishing & Forestry
manufacturer/ producer,items for mural decorations,Fishing & Forestry
service provider,photographed wood,Fishing & Forestry
manufacturer/ producer,company gift,Food Related Products
service provider,manipulators for heavy loads,Total Power
service provider,machining of large parts,Total Power
service provider,"large parts, welded",Total Power
service provider,circular welders,Total Power
retailer,energy measurement instruments,Construction Buildings
retailer,energy regulation instruments,Construction Buildings
missing,magnetic insulation,Construction Residential
multi-category,moto-reducers,Automotive LDV
service provider,electronics services,Total Power
manufacturer/ producer,electronics services,Machinery & Equipment
service provider,activities for electronics,Total Power
manufacturer/ producer,automatic mechanisms,Construction Residential
missing,automatic mechanisms,Construction Buildings
service provider,telecontrol,Total Power
service provider,transport consultants,Total Power
missing,electricity - operating,Renewable Energy
service provider,electronic automation,Total Power
service provider,antenna fitter,Total Power
service provider,nuclear power stations,Total Power
manufacturer/ producer,nuclear power stations,Total Power
missing,nuclear power stations,Total Power
multi-category,nuclear power stations,Total Power
service provider,diesel generator,Total Power
service provider,electricity providers,Total Power
manufacturer/ producer,electricity providers,Chemicals
multi-category,electricity providers,no_match
distributor,hydraulic cylinder,Machinery & Equipment
agent/ representative,insurance assessors,Agriculture & Livestock
manufacturer/ producer,nuclear fuel,Total Energy
missing,clutch,Automotive LDV
retailer,clutch,Automotive LDV
manufacturer/ producer,phosphating,Iron & Steel
manufacturer/ producer,coppering,Iron & Steel
manufacturer/ producer,sanitary ware,Iron & Steel
distributor,sanitary ware,Fishing & Forestry
service provider,nutural stones quality control,Construction Buildings
service provider,strategic sourcing,Construction Buildings
service provider,ceramics quality control,Construction Buildings
service provider,we are outsourced procurement management team,Construction Buildings
service provider,b2b procurement matching consulting,Construction Buildings
service provider,industrial indoor flooring,Construction Buildings
manufacturer/ producer,tht mounting,Machinery & Equipment
manufacturer/ producer,pcb assembly,Construction Buildings
service provider,acid-resistant floors,Construction Buildings
service provider,ceramic floor cleaning services,Construction Buildings
service provider,warehouse cleaning services,Construction Buildings
service provider,cleaning services for hospitals,Construction Buildings
service provider,cleaning services for private clinics,Construction Buildings
missing,marketing strategy consultants,Food Related Products
service provider,glass repairs,Construction Residential
service provider,wired flat glass,Construction Residential
manufacturer/ producer,glass ampules,Construction Residential
service provider,ancient windows,Construction Residential
service provider,lock cylinders,Construction Residential
service provider,insulating windows,Construction Residential
manufacturer/ producer,insulating windows,Construction Residential
service provider,silkcreen printing on glass,Construction Residential
service provider,frosted glass,Construction Residential
service provider,curved laminated glass,Construction Residential
service provider,flat non-reflective glass,Construction Residential
service provider,rental by the hour,Construction Residential
service provider,crystal bay windows for decorative purposes,Construction Residential
manufacturer/ producer,crystal bay windows for decorative purposes,Construction Residential
manufacturer/ producer,spectacle frames,Construction Residential
service provider,leaded windows,Construction Residential
service provider,glass replacement,Construction Residential
service provider,verandah repair,Construction Residential
service provider,ships' papers,Construction Residential
subcontractor,ships' papers,Construction Residential
service provider,glass curtains spain,Construction Residential
service provider,glass curtain,Construction Residential
service provider,costa blanca glass,Construction Residential
service provider,hidden sound devices,Construction Residential
service provider,glass for technical industrial use,Construction Residential
manufacturer/ producer,glass for technical industrial use,Construction Residential
service provider,maintenance cleaning,Construction Residential
service provider,glass cleaning,Construction Residential
service provider,carpet washing,Construction Residential
service provider,upholstery cleaning,Construction Residential
service provider,concierge services,Construction Residential
subcontractor,façade cleaning,Construction Residential
service provider,window washing,Construction Residential
service provider,cleanup after construction,Construction Residential
service provider,fire protection work,Construction Residential
service provider,"lenses, camera",Construction Residential
service provider,spherical optics,Construction Residential
service provider,flat optics,Construction Residential
manufacturer/ producer,flat optics,Construction Residential
service provider,achromatic lenses,Construction Residential
service provider,optical coating,Construction Residential
manufacturer/ producer,optical coating,Construction Residential
service provider,optical mirrors,Construction Residential
service provider,liquid lens objectives,Construction Residential
agent/ representative,campers,Other Transport
retailer,speedboats,Other Transport
service provider,motor boat driving lessons,Other Transport
missing,"transport, heavy loads",Other Transport
service provider,logistics advice-international project,Other Transport
service provider,mixed road-rail freight,Other Transport
service provider,freighters,Other Transport
service provider,boat captain rental,Other Transport
agent/ representative,sails,Other Transport
manufacturer/ producer,sail loft,Other Transport
manufacturer/ producer,motor yachts,Other Transport
service provider,oversized transport,Other Transport
manufacturer/ producer,audting,Other Industry
wholesaler,audting,Fishing & Forestry
missing,audting,Other Industry
missing,company management,Other Industry
missing,administrative assistant,Other Industry
service provider,road transport wtih two-tier car carriers,Other Transport
service provider,boat transport by road,Other Transport
missing,boat transport by road,Other Transport
service provider,express road haulage,Other Transport
missing,express road haulage,Other Transport
multi-category,boat construction,Other Transport
service provider,sightseeing cruises,Other Transport
service provider,lunch cruises,Other Transport
service provider,dinner cruises,Other Transport
service provider,private events,Other Transport
service provider,river towing,Other Transport
service provider,naval shipyards,Other Transport
service provider,boat excursions,Other Transport
service provider,real estate rental for non-residential use,Other Transport
service provider,yacht management software,Other Transport
service provider,yacht accounting software,Other Transport
service provider,yacht financial management,Other Transport
service provider,boat management software,Other Transport
service provider,sail boat rental with crew,Other Transport
service provider,property consultancy,Other Transport
service provider,business company - hotel,Other Transport
manufacturer/ producer,wedding organisation,Food Related Products
service provider,any type of transport,Other Transport
missing,seminar organisation,Food Related Products
missing,conferences organisation,Food Related Products
distributor,yacht broker,Other Transport
missing,guided excursions,Other Transport
service provider,condition survey,Other Transport
service provider,boat survey,Other Transport
service provider,sailing in mallorca,Other Transport
agent/ representative,customs agency,Other Transport
service provider,sailing boat transport,Other Transport
service provider,equipped boats to rent,Other Transport
subcontractor,wall painting,Construction Residential
service provider,boat licence renewal,Other Transport
retailer,boat licence renewal,Other Transport
service provider,attitude tests,Other Transport
service provider,leon driving license renewal,Other Transport
service provider,weddings,Other Transport
missing,weddings,Other Transport
service provider,sports events organisation,Other Transport
wholesaler,dredgers,Machinery & Equipment
service provider,thermal cutting,Other Transport
missing,leather good,Machinery & Equipment
service provider,forwarding,Other Transport
service provider,golfing gear,Machinery & Equipment
service provider,golf,Machinery & Equipment
service provider,golf magazines,Machinery & Equipment
subcontractor,painting buildings,Construction Residential
distributor,plumber,Construction Residential
service provider,diy items,Construction Buildings
wholesaler,diy items,Construction Buildings
missing,local removals,Other Transport
service provider,steel moulding,Iron & Steel
wholesaler,floor covering,Construction Residential
service provider,fountain spouts,Iron & Steel
service provider,plastic food container,Iron & Steel
service provider,mobile tower hire,Iron & Steel
service provider,fixed scaffolding hire,Iron & Steel
service provider,industrial insulation,Iron & Steel
service provider,piston engines,Iron & Steel
missing,piston engines,Aviation
service provider,material testing laboratory,Iron & Steel
service provider,corrosion tests,Iron & Steel
subcontractor,concrete form,Construction Buildings
service provider,site building,Iron & Steel
service provider,trestles,Iron & Steel
service provider,studies,Iron & Steel
manufacturer/ producer,studies,Other Transport
missing,studies,Other Transport
service provider,electromechanical constructions,Iron & Steel
missing,real estate agency,Machinery & Equipment
service provider,bridges hired,Iron & Steel
service provider,bridges erected,Iron & Steel
service provider,tube scaffolding,Iron & Steel
distributor,tube scaffolding,Construction Buildings
subcontractor,office movers,Other Transport
service provider,mobile scaffolding rental,Iron & Steel
service provider,scaffolding rental,Iron & Steel
service provider,traditional scaffolding rental,Iron & Steel
service provider,building scaffolding hire,Iron & Steel
service provider,building scaffolding preparation,Iron & Steel
service provider,hanging scaffolding,Iron & Steel
service provider,mobile scaffold tower,Iron & Steel
service provider,specialised in company acquisitions and mergers,Iron & Steel
multi-category,recycling installations,Other Industry
service provider,company communication,Iron & Steel
service provider,erection of scaffolding,Iron & Steel
manufacturer/ producer,erection of scaffolding,Iron & Steel
service provider,dismantling of scaffolding,Iron & Steel
manufacturer/ producer,dismantling of scaffolding,Iron & Steel
service provider,scaffolding hire,Iron & Steel
retailer,fungicides,Fishing & Forestry
manufacturer/ producer,garden maintenance,Fishing & Forestry
missing,asphalting,no_match
missing,sports ground turf regeneration,Agriculture & Livestock
service provider,open plan office,Fishing & Forestry
service provider,landscape planning,Fishing & Forestry
missing,landscape planning,Fishing & Forestry
service provider,public park maintenance,Fishing & Forestry
missing,public park maintenance,Fishing & Forestry
service provider,cleaning of premises,Fishing & Forestry
service provider,pruning jobs,Fishing & Forestry
service provider,environmental reclamation,Fishing & Forestry
service provider,hedge trimmers,Fishing & Forestry
service provider,bituminised flooring for civic use outdoors,Fishing & Forestry
service provider,custom staging,Fishing & Forestry
missing,cotton fibres,Fishing & Forestry
service provider,villa change overs,Fishing & Forestry
service provider,artistic garden installations,Fishing & Forestry
service provider,reforestation,Fishing & Forestry
service provider,watering system installation,Fishing & Forestry
service provider,high pruning work,Fishing & Forestry
service provider,flower baskets,Fishing & Forestry
service provider,pruning,Fishing & Forestry
service provider,gabion retaining net,Fishing & Forestry
service provider,erosion protection,Fishing & Forestry
service provider,topography,Fishing & Forestry
manufacturer/ producer,topography,Fishing & Forestry
service provider,construction of parks,Fishing & Forestry
manufacturer/ producer,urban planning consultants,Construction Buildings
service provider,pond filters,Fishing & Forestry
service provider,"pruning, bio",Fishing & Forestry
service provider,flower decorations,Fishing & Forestry
missing,flower decorations,Fishing & Forestry
agent/ representative,pigs,Agriculture & Livestock
manufacturer/ producer,cereal packing,Agriculture & Livestock
service provider,repairs of cookers for institutions,Machinery & Equipment
manufacturer/ producer,repairs of cookers for institutions,Machinery & Equipment
distributor,repairs of cookers for institutions,Machinery & Equipment
service provider,display rack,Machinery & Equipment
manufacturer/ producer,machine repair,Iron & Steel
manufacturer/ producer,audio-video advertising,Gas Energy
missing,audio-video advertising,Food Related Products
service provider,cold storage room,Machinery & Equipment
service provider,kitchen hood,Machinery & Equipment
service provider,wok cookers,Machinery & Equipment
manufacturer/ producer,wine analysis,Food Related Products
distributor,hard liquors,Food Related Products
wholesaler,hard liquors,Food Related Products
agent/ representative,hard liquors,Agriculture & Livestock
retailer,hard liquors,Food Related Products
service provider,permit requests,Machinery & Equipment
service provider,scandinavian type wooden windows,Construction Residential
service provider,components for structural framework,Construction Residential
service provider,"windows, wood",Construction Residential
service provider,metal hinges for frames,Construction Residential
service provider,pvc frames,Construction Residential
manufacturer/ producer,waste water disinfection,Other Industry
subcontractor,restaurant,Fishing & Forestry
multi-category,restaurant,Agriculture & Livestock
retailer,restaurant,Food Related Products
distributor,caterers,Machinery & Equipment
subcontractor,caterers,Fishing & Forestry
multi-category,caterers,Agriculture & Livestock
retailer,caterers,Food Related Products
service provider,roast suckling pig,Agriculture & Livestock
manufacturer/ producer,lunches for functions,Food Related Products
missing,livestock services,Agriculture & Livestock
service provider,professional federations,Fishing & Forestry
service provider,professional associations,Fishing & Forestry
service provider,professional unions,Fishing & Forestry
missing,finance companies,Agriculture & Livestock
manufacturer/ producer,credit companies,Automotive HDV
missing,credit companies,Agriculture & Livestock
missing,luxury car rental,Other Transport
distributor,fibre,Automotive HDV
wholesaler,locksmithing,Construction Residential
service provider,car locks,Automotive HDV
missing,trailer rental,Other Transport
multi-category,car insurance,Automotive HDV
service provider,insurance coverage,Automotive HDV
missing,corpse repatriation,Aviation
missing,car with driver for company executives,Other Transport
missing,limousine service with driver,Other Transport
missing,airport transfer,Other Transport
agent/ representative,camper van,Other Transport
manufacturer/ producer,advice,Construction Residential
distributor,investment,Other Industry
service provider,car washing by hand,Automotive HDV
wholesaler,events marketing,Construction Residential
agent/ representative,events marketing,Machinery & Equipment
service provider,digitisation of plans,Automotive HDV
service provider,virtual reality,Automotive HDV
service provider,virtual platform,Automotive HDV
service provider,digitalisation of corporate events,Automotive HDV
service provider,funerary transports,Automotive HDV
manufacturer/ producer,road signs,Iron & Steel
missing,chauffeured limousine hire,Other Transport
service provider,fire assessment,Automotive HDV
service provider,car resurvey,Automotive HDV
distributor,short-term car rental,Other Transport
agent/ representative,o-rings,Machinery & Equipment
service provider,company insurance,Automotive HDV
agent/ representative,life insurance,Automotive HDV
missing,life insurance,Machinery & Equipment
service provider,merchant's insurance,Automotive HDV
service provider,internet sites,Automotive HDV
service provider,intranet sites,Automotive HDV
service provider,animal transporter,Automotive HDV
service provider,pneumatics,Automotive HDV
multi-category,epoxy polyurethane covers,Construction Buildings
missing,transfer,Other Transport
missing,large tourist bus rental,Other Transport
service provider,speakerphone kits,Automotive HDV
manufacturer/ producer,car seat replacements,Automotive LDV
wholesaler,car seat replacements,Automotive LDV
service provider,international funeral home,Automotive HDV
