group_var,ep_id,ep_country,ep_main_act,ep_clustered,activity_uuid_product_uuid,multi_match,completion
timber-.-spain-.-manufacturer/ producer,e4651c9ffca860455c4a69cc63fac4004aa473bb,spain,manufacturer/ producer,timber,836cc920-d9d2-5b5b-a549-d040ba4a5468_ec8fb345-3751-4db5-a67a-fddc6c72a183,False,high
gas-.-germany-.-distributor,facafa74878399363f0b336bec9baceccc71b517,germany,distributor,gas,11fb8678-d8bc-5d3f-bfdd-08fd52eed3c1_24915790-23b1-4900-86ac-3b025be19c06,False,high
wines - spain-.-germany-.-agent/ representative,2e446facd262a566217f27eeafb3dd1c7f6cbb7d,germany,agent/ representative,wines - spain,2ca54fc1-3f6a-57d4-8a44-e4f9d487b1f6_685944f8-452b-4ad4-a01a-863924792f27,False,low
cosmetic product-.-netherlands-.-wholesaler,5aa8c729fb18cc51ea5dc7699cc5e8e7b4ecd65a,netherlands,wholesaler,cosmetic product,cb8146d8-9390-5263-aa65-1d3331b83d4c_4f41bd8f-2435-41c8-8a3f-3810f0210766,False,low
screw-on lifting rings-.-france-.-wholesaler,21952f983248c432a39bd0074924b4edac259299,france,wholesaler,screw-on lifting rings,0febc80b-118a-55b0-9d33-5e2bcc9ce10c_3c3632b8-ce5b-4957-ac59-54e931ccd247,False,low
trailer-.-germany-.-agent/ representative,9c0f8c4ad8009e22872f65ed8fa775212f80aaca,germany,agent/ representative,trailer,6b05013d-4c2d-5a5f-bf17-ebac986091c4_ba4b7781-39f2-465b-8d98-0bc1c4c82e61,False,high
motorcycle clothing-.-spain-.-distributor,aa451ecf47d86d7480653fb65f66d0c1e6f5bcf7,spain,distributor,motorcycle clothing,ab99be28-023c-502a-b0fc-9d5f36f26e09_51ee8234-6dea-42cb-b520-2d879bf53f3d,False,low
"wines, champagne method-.-germany-.-manufacturer/ producer",705542fac3d95aea3a2ca5449eb1963567cf16f4,germany,manufacturer/ producer,"wines, champagne method",5fd0c3e1-8df3-5b26-b4a0-4dc5dcf09f76_685944f8-452b-4ad4-a01a-863924792f27,False,low
rollers-.-germany-.-retailer,e7435854368bc368b443f93b64ec3c80b74c200d,germany,retailer,rollers,d6459f77-552d-5ae1-89b5-8b1bc6b77f3d_d7d5b411-031a-4735-acee-3f9658cf74c4,False,low
wooden pellets-.-germany-.-wholesaler,cbfc96a9a5001450f2a3cdf7d0effb35e9b3bacc,germany,wholesaler,wooden pellets,131221cf-03ba-5d56-b8b3-e21a2c15696d_249c83b0-ff03-45aa-9a5c-f7a58d0ff6e6,False,high
motorcycle-.-spain-.-manufacturer/ producer,438bc3e3666409c796823a6d58f5f4b89f64d12a,spain,manufacturer/ producer,motorcycle,f185645e-3eae-5646-9c71-d7b3d8b93622_dfaf81e4-74bd-44ac-9d66-00ae3db40bc6,False,low
"calves, slaughter-.-france-.-wholesaler",821f10b58463acfecc5164c5ca6a2423b3c12872,france,wholesaler,"calves, slaughter",8a6e591c-65d6-5e59-aa33-f702586193d4_49719318-578e-40fe-b359-0780c8df9221,False,high
connectors-.-france-.-distributor,d8428953fdd7537c3f2681c87eb75acd3566d1cb,france,distributor,connectors,22497ee5-5bd5-53ac-bc64-d820cf26d55f_6716b460-7ba0-4cea-baa4-32ae24bfb88c,False,high
needle bearings-.-austria-.-manufacturer/ producer,f39944ebd22f11219cd4f93f3e6da024019ccec6,austria,manufacturer/ producer,needle bearings,fd386c17-800c-5baf-a0f6-07bdb780637a_444d81a0-13e0-41a4-8f63-e691b0133c04,False,low
alcoholic beverages-.-austria-.-manufacturer/ producer,784c9d0b14cf314e386c023cc5447543fa141a33,austria,manufacturer/ producer,alcoholic beverages,8272d508-f093-5452-8862-619142d9880b_a4440cda-ba49-464a-abf5-7e4c8d186b8b,False,low
congresses organisation-.-germany-.-distributor,58df9867ae4ecac94baeb9f1121b2e08d9c1932e,germany,distributor,congresses organisation,ed952a62-a68b-591b-b72d-e0a49d5641e6_ff7958eb-3b53-4955-8ca8-464218e0fb10,False,high
salt-.-austria-.-wholesaler,b295d117135a9763da282e7dae73a5ca7d3e5b11,austria,wholesaler,salt,591926f1-3f58-5a77-b535-b77088cc5839_93015ba0-863d-4535-be49-8a1b16b71782,False,high
plastic floor covering-.-austria-.-manufacturer/ producer,59ffcf1054b2a788a3a7c10c721469e752766328,austria,manufacturer/ producer,plastic floor covering,153407af-905f-597f-8dde-d2dd73afc055_c449e3b5-385c-454b-acba-e3e6f58c68e4,False,low
school stationery-.-austria-.-wholesaler,f6b97ffe42844ddb3f8fc97b91986c8b62d17475,austria,wholesaler,school stationery,9210e9c6-c318-5c20-afa5-64ecb56dc2f7_fd27af60-7b68-4549-bf35-022eacd74f93,False,medium
confectionary-.-france-.-manufacturer/ producer,e5e1f149cb4ced2207c479765a658f800f6bf3bd,france,manufacturer/ producer,confectionary,7e44cc11-9b59-5b65-9add-ea6f073c4004_dca5d4c8-0e53-4f11-9df5-418e30a0e49f,False,low
restaurant linen-.-spain-.-wholesaler,37901312b151eaaf40205db3f9fbc74f01bd424d,spain,wholesaler,restaurant linen,6b0fdf74-0a62-5730-a73b-260f47fe6d88_98ab81fc-5bbf-40ba-ade0-e7ceae4ca463,False,low
knives-.-france-.-manufacturer/ producer,0e16a11cda9a976d67ca3d035d114c63888478cc,france,manufacturer/ producer,knives,6af736f9-a8c5-53c7-9930-730beb7ea8ab_325592d0-d9d7-4d62-8cb4-b58761da37d7,False,medium
weights verification instruments-.-france-.-manufacturer/ producer,fe4bde89d109aacbaf0f86dbef13b04909cf69db,france,manufacturer/ producer,weights verification instruments,a03f604d-f6a1-5c54-9376-487d9666f322_a6295e41-357a-461d-93ec-51363b31192b,False,low
stackable container-.-spain-.-manufacturer/ producer,bdff21583904c5f2b8252286a706f9a3d1c302e9,spain,manufacturer/ producer,stackable container,1350f7c4-8105-5159-8480-c86e5e404e46_128696a8-005e-49a7-9616-d96178655408,False,low
metal drilling-.-germany-.-manufacturer/ producer,db9aec2427bde6c6ba19b994f41c93b7fdc7894d,germany,manufacturer/ producer,metal drilling,3c0b2b9a-be96-5bc1-8404-79a683e7b048_ec161f58-adae-4afc-ba38-14659925b080,False,low
graphic designers-.-germany-.-distributor,4f5d9605dd3f0a42b8f2ffe413b3fcabfdeb4c0a,germany,distributor,graphic designers,90ee2697-8700-51e0-aef7-a2fc89ecbd87_3cadb0c2-4e16-4007-8f05-b5d48b7ea47c,False,low
organic mushrooms-.-germany-.-manufacturer/ producer,44a30edcc6b3432be6e57a03d94850a40c659987,germany,manufacturer/ producer,organic mushrooms,044a144f-6eeb-5d00-a427-329eac81ae86_fa8fdaec-627a-4055-b2e9-49b238cf166f,False,low
large variety of aromatic herbs-.-spain-.-agent/ representative,8b19c8720b9893cc83538f9f90fbee1b1725e865,spain,agent/ representative,large variety of aromatic herbs,1f0fd455-0e1c-5850-a4fd-4e26ed98374c_0d84cdfe-bcf2-4821-8f34-d93b9f611c11,False,low
timber-.-germany-.-retailer,e4651c9ffca860455c4a69cc63fac4004aa473bb,germany,retailer,timber,5e265a78-8b0d-5802-8a81-1c8d78f936e3_ec8fb345-3751-4db5-a67a-fddc6c72a183,False,high
screw packaging-.-germany-.-wholesaler,6b07ba71d6c38bee122c59d70e9b3126dd46e980,germany,wholesaler,screw packaging,18ee9630-5d95-582a-b4d8-f885cb825116_c5638b4f-3c4b-4874-9188-644d52be12bc,False,low
parts for large household appliances-.-netherlands-.-retailer,184cef54f21e1277ecac5b8a852e6c469842dfe0,netherlands,retailer,parts for large household appliances,e6b01ab0-b94d-5c9c-8d37-edac7376f884_f575d599-c290-4329-8b87-f0cbf03b4311,False,medium
special lubricant-.-austria-.-distributor,eeee884ef27dc83860d9b70258004b3e66465e32,austria,distributor,special lubricant,809a7ce6-14e4-55fd-887d-6ff4460139f3_ea75b944-c676-4a13-85b8-2bea98f765a4,False,low
artificial trees-.-france-.-manufacturer/ producer,690df0f2f6a9bd0cb0cc328792eb38eab325a80c,france,manufacturer/ producer,artificial trees,02a174d5-d4f7-5a44-a924-849ba692c6c4_0b0ceb4f-24d2-4245-a155-925b136eb55c,False,low
legumes-.-netherlands-.-wholesaler,b4da5edf959c73ff1afa87b67985ebddc5a26056,netherlands,wholesaler,legumes,f0c75a82-9f5f-5f7a-92db-db027d899b38_f0347014-5771-4658-bcca-65a327ae34db,False,medium
soil-.-germany-.-distributor,118e80c094833aaf1312fddfc5f9433d88b0a4a8,germany,distributor,soil,4e6edecb-8474-585b-8756-3ff51109f480_370f3b6f-cd34-496d-a249-3045fdb389a1,False,medium
"vehicles, mechanical components-.-spain-.-wholesaler",0ad109876c2865a2a05dff9ff75f26368f6f78c8,spain,wholesaler,"vehicles, mechanical components",224ee7c2-594e-58b8-83d6-5422a588013d_c7f4de9b-f58b-4189-976e-51586da634df,False,high
natural straw-.-france-.-manufacturer/ producer,24d4bf0b2afe7e74c3bdd42faf1dafad195c85af,france,manufacturer/ producer,natural straw,d8b59dd5-0c7f-5bf8-a301-db8e7e05fc4b_692b4f7e-9e79-4f69-b22f-b66f68f2f9cc,False,high
coachbuilding-.-austria-.-distributor,abcc8c79f79fb2ad83035f9f623627c7d29a43a5,austria,distributor,coachbuilding,eab32368-a603-584e-9f12-4e725b18c768_36a8a484-d7c0-4bb3-a7c3-073bf3be3185,False,high
plate glass-.-germany-.-wholesaler,cc59cc8a5b0c382f65ca0bf22d6608f6622cc1ed,germany,wholesaler,plate glass,7c011dc4-9d3c-5ac5-bc81-ddea8279cdd6_e9661fc2-f27f-4b41-87cc-2d55a4bee0cd,False,low
